word,meaning,pronunciation,syllables,partOfSpeech,example
microphone,A device (transducer) used to convert sound waves into a varying electric current; normally fed into an amplifier and either recorded or broadcast.,/ˈmaɪ.kɹəˌfəʊn/,m-icr-oph-on-e,noun,
microscope,An optical instrument used for observing small objects.,/ˈmaɪkɹəˌskəʊp/,m-icr-osc-op-e,noun,
microwave,An electromagnetic wave with wavelength between that of infrared light and radio waves.,/ˈmaɪkɹəʊˌweɪv/,m-icr-ow-av-e,noun,
midnight,"The middle of the night: the sixth temporal hour, equidistant between sunset and sunrise.",/ˈmɪdnʌɪt/,m-idn-ight,noun,
mild,"A relatively low-gravity beer, often with a dark colour; mild ale",/ˈmaɪld/,m-ild,noun,a mild man
mileage,The total distance travelled in miles or in air miles.,/ˈmaɪlədʒ/,m-il-eag-e,noun,"There’s quite a lot of mileage in language, speech and computing, particularly in research."
mineral,Any naturally occurring inorganic material that has a (more or less) definite chemical composition and characteristic physical properties.,/ˈmɪ.nəɹ.əl/,m-in-er-al,noun,
mini,"Miniature, tiny, small.",/ˈmɪ.ni/,m-in-i,adjective,
minimize,To make (something) as small or as insignificant as possible.,/ˈmɪn.ə.maɪz/,m-in-im-iz-e,verb,"I didn't close anything, but I minimized all the windows so I could see the desktop."
misidentify,To mistake the identity.,,m-is-id-ent-if-y,verb,
mislead,"To lead astray, in a false direction.",/mɪsˈliːd/,m-isl-ead,verb,The preacher elaborated Satan's ways to mislead us into sin
misplace,To put something somewhere and then forget its location; to mislay,/mɪsˈpleɪs/,m-ispl-ac-e,verb,
mister,"A title conferred on an adult male, usually when the name is unknown. Also used as a term of address, often by a parent to a young child.",[ˈmɪstə(ɹ)],m-ist-er,noun,"You may sit here, mister."
modem,A device that encodes digital computer signals into analog/analogue telephone signals and vice versa and allows computers to communicate over a phone line.,/ˈməʊdəm/,m-od-em,noun,
modification,"The form of existence belonging to a particular object, entity etc.; a mode of being.",/ˌmɒdɪfɪˈkeɪʃən/,m-od-if-ic-at-ion,noun,Jim's modification to the radio's tuning resulted in clearer sound.
monument,"A structure built for commemorative or symbolic reasons, or as a memorial; a commemoration.",/ˈmɒnjʊmənt/,m-on-um-ent,noun,There is a monument on the town green to the soldiers who died in World War I.
morale,"The capacity of people to maintain belief in an institution or a goal, or even in oneself and others.",/məˈɹæl/,m-or-al-e,noun,Morale is an important quality in soldiers. With good morale they'll charge into a hail of bullets; without it they won't even cross a street.
mosquito,"A small flying insect of the family Culicidae, the females of which bite humans and animals and suck blood, leaving an itching bump on the skin, and sometimes carrying diseases like malaria and yellow fever.",/məˈski.toʊ/,m-osq-uit-o,noun,
motorcycle,"An open-seated motor vehicle with handlebars instead of a steering wheel, and having two (or sometimes three) wheels.",/ˈməʊtəˌsaikəl/,m-ot-orc-ycl-e,noun,
mower,"A lawnmower, a machine used to cut grass.",/ˈməʊ.ə(ɹ)/,m-ow-er,noun,
nail,"The thin, horny plate at the ends of fingers and toes on humans and some other animals.",/neɪl/,n-ail,noun,When I'm nervous I bite my nails.
nap,"A short period of sleep, especially one during the day.",/nap/,n-ap,noun,The regulators were caught napping by the financial collapse.
nationwide,Extending throughout an entire nation.,/ˌneɪ.ʃənˈwaɪd/,n-at-ionw-id-e,adjective,There was a nationwide search on for the bankrobbers.
neat,"An artificial intelligence researcher who believes that solutions should be elegant, clear and provably correct. Compare scruffy.",/niːt/,n-eat,noun,My room is neat because I tidied it this morning.  She has very neat hair.
necessity,"The quality or state of being necessary, unavoidable, or absolutely requisite.",/nɪˈsɛsəti/,n-ec-ess-it-y,noun,I bought a new table out of necessity. My old one was ruined.
necklace,"An article of jewelry that is worn around the neck, most often made of a string of precious metal, pearls, gems, beads or shells, and sometimes having a pendant attached.",/ˈnɛkləs/,n-eckl-ac-e,noun,a necklace of coral islands
needy,In need; poor.,/ˈniːdi/,n-eed-y,adjective,"Needy people want to give too, but have few material goods to offer."
newsletter,"A periodically sent publication containing current events or the like, generally on a particular topic or geared toward a limited audience.",/ˈnjuːzˌlɛtə/,n-ewsl-ett-er,noun,
newsstand,"An open stall, often on a street, where newspapers and magazines are on sale to the public",,n-ewsst-and,noun,
noisy,"Making a noise, especially a loud unpleasant sound",/ˈnɔːɪzɪ/,n-ois-y,adjective,the noisy crowd.
nominate,"To name someone as a candidate for a particular role or position, including that of an office.",/ˈnɒm.ə.neɪt/,n-om-in-at-e,verb,"1658: the City of Norwich [...] was enlarged, builded and nominated by the Saxons. — Sir Thomas Browne, Urne-Burial (Penguin 2005, p. 12)"
nomination,An act or instance of nominating.,,n-om-in-at-ion,noun,
noon,The ninth hour of the day counted from sunrise; around three o'clock in the afternoon.,/nuːn/,n-oon,noun,"1885, When night was at its noon I heard a voice chanting the Koran in sweetest accents — Sir Richard Burton, The Book of the Thousand Nights and One Night, Night 17:"
notify,To give (someone) notice (of some event).,/ˈnoʊtɪfaɪ/,n-ot-if-y,verb,Once a decision has been reached and notified to the parties it becomes binding.
nutrition,The organic process by which an organism assimilates food and uses it for growth and maintenance.,/njuːˈtɹɪ.ʃən/,n-utr-it-ion,noun,
obligate,"To bind, compel, constrain, or oblige by a social, legal, or moral tie.",,obl-ig-at-e,verb,an obligate anaerobe
oblige,"To constrain someone by force or by social, moral or legal means.",/əˈblaɪdʒ/,obl-ig-e,verb,I am obliged to report to the police station every week.
obtain,"To get hold of; to gain possession of, to procure; to acquire, in any way.",/əbˈteɪn/,obt-ain,verb,
occupancy,"The act of occupying, the state of being occupied or the state of being an occupant or tenant.",,occ-up-anc-y,noun,They had a five-year occupancy on the house.
occupant,A person who occupies an office or a position.,/ˈɒk.jʊ.pənt/,occ-up-ant,noun,I cannot say the same of the current occupant of the position
occupation,"An activity or task with which one occupies oneself; usually specifically the productive activity, service, trade, or craft for which one is regularly paid; a job.",/ɒkjəˈpeɪʃən/,occ-up-at-ion,noun,
occurrence,An actual instance when a situation occurs; an event or happening.,/əˈkɐɹən(t)s/,occ-urr-enc-e,noun,
