word,meaning,pronunciation,syllables,partOfSpeech,example
absent,not present at a usual or expected place : missing,ˈab-sənt,ab-sent,adjective,
accessible,capable of being reached; also : being within reach,ik-ˈse-sə-bəl,ac-ces-si-ble,adjective,
accustomed,often used or practiced : customary,ə-ˈkə-stəmd,ac-cus-tomed,adjective,
additional,more than is usual or expected : added,ə-ˈdi-sh(ə-)nəl,ad-di-tion-al,adjective,
adjacent,not distant : nearby,ə-ˈjā-sᵊnt,ad-ja-cent,adjective,
administrative,"of or relating to administration or an administration : relating to the management of a company, school, or other organization",əd-ˈmi-nə-ˌstrā-tiv,ad-min-is-tra-tive,adjective,
advanced,far on in time or course,əd-ˈvan(t)st,ad-vanced,adjective,
adverse,acting against or in a contrary direction : hostile,ad-ˈvərs,ad-verse,adjective,
advisable,fit to be advised or done : prudent,əd-ˈvī-zə-bəl,ad-vis-able,adjective,
affordable,able to be afforded : having a cost that is not too high,ə-ˈfȯr-də-bəl,af-ford-able,adjective,
alternate,occurring or succeeding by turns,ˈȯl-tər-nət,al-ter-nate,adjective,
annual,covering the period of a year,ˈan-yə(-wə)l,an-nu-al,adjective,
anonymous,of unknown authorship or origin,ə-ˈnä-nə-məs,anon-y-mous,adjective,
apparent,open to view : visible,ə-ˈper-ənt,ap-par-ent,adjective,
apprehensive,viewing the future with anxiety or alarm : feeling or showing fear or apprehension about the future,ˌa-pri-ˈhen(t)-siv,ap-pre-hen-sive,adjective,
appropriate,especially suitable or compatible : fitting,ə-ˈprō-prē-ət,ap-pro-pri-ate,adjective,
authentic,"not false or imitation : real, actual",ə-ˈthen-tik,au-then-tic,adjective,
automatic,largely or wholly involuntary; especially : reflex,ˌȯ-tə-ˈma-tik,au-to-mat-ic,adjective,
available,present or ready for immediate use,ə-ˈvā-lə-bəl,avail-able,adjective,
aware,"having or showing realization, perception, or knowledge",ə-ˈwer,aware,adjective,
bankrupt,a debtor (such as an individual or an organization) whose property is subject to voluntary or involuntary administration under the bankruptcy laws for the benefit of the debtor's creditors,ˈbaŋk-(ˌ)rəpt,bank-rupt,noun,
basic,"of, relating to, or forming the base or essence : fundamental",ˈbā-sik,ba-sic,adjective,
brief,"short in duration, extent, or length",ˈbrēf,brief,adjective,
broad,having ample extent from side to side or between limits,ˈbrȯd,broad,adjective,
cautious,careful about avoiding danger or risk,ˈkȯ-shəs,cau-tious,adjective,
certain,"fixed, settled",ˈsər-tᵊn,cer-tain,adjective,
clerical,"of, relating to, or characteristic of the clergy",ˈkler-i-kəl,cler-i-cal,adjective,
coming,an act or instance of arriving,ˈkə-miŋ,com-ing,noun,
commensurate,"corresponding in size, extent, amount, or degree : proportionate",kə-ˈmen(t)s-rət,com-men-su-rate,adjective,
commercial,occupied with or engaged in commerce or work intended for commerce,kə-ˈmər-shəl,com-mer-cial,adjective,
compact,"predominantly formed or filled : composed, made",kəm-ˈpakt,com-pact,adjective,
comparable,capable of or suitable for comparison,ˈkäm-p(ə-)rə-bəl,com-pa-ra-ble,adjective,
compatible,capable of existing together in harmony,kəm-ˈpa-tə-bəl,com-pat-i-ble,adjective,
competitive,"relating to, characterized by, or based on competition",kəm-ˈpe-tə-tiv,com-pet-i-tive,adjective,
