word,meaning,pronunciation,syllables,partOfSpeech,example
compact,An agreement or contract.,/kəmˈpækt/,c-omp-act,noun,
compartment,"A room, or section, or chamber",/kəmˈpɑː(ɹ)tmənt/,c-omp-artm-ent,noun,Two men were seated in a well-lighted compartment of a third-class railway carriage.
compatible,Something that is compatible with something else.,/kəmˈpætəbəl/,c-omp-at-ibl-e,noun,a computer company that sells IBM compatibles
compensate,To do (something good) after (something bad) happens,/ˈkɒm.pən.seɪt/,c-omp-ens-at-e,verb,"It is hard work, but they will compensate you well for it."
compile,An act of compiling code.,/kəmpʌɪl/,c-omp-il-e,noun,Samuel Johnson compiled one of the most influential dictionaries of the English language.
completion,"The act or state of being or making something complete; conclusion, accomplishment.",/kəmˈpliːʃən/,c-ompl-et-ion,noun,
compliance,An act of complying.,/kəmˈplaɪəns/,c-ompl-ianc-e,noun,
complication,The act or process of complicating.,,c-ompl-ic-at-ion,noun,
compliment,"An expression of praise, congratulation, or respect.",/ˈkɒmplɪmənt/,c-ompl-im-ent,noun,
complimentary,In the nature of a compliment.,/ˌkɒmplɪ̈ˈmɛnt(ə)ɹi/,c-ompl-im-ent-ar-y,adjective,a complimentary remark
comply,"To yield assent; to accord; to acquiesce, agree, consent; to adapt oneself, to conform.",/kəmˈplaɪ/,c-ompl-y,verb,
comprehension,Thorough understanding,/kɒmpɹɪˈhɛnʃn̩/,c-ompr-eh-ens-ion,noun,
concierge,One who attends to the wishes of hotel guests.,/ˌkɒn.siˈɛə̯ʒ/,c-onc-ierg-e,noun,
conditioner,Anything that improves the condition of something,,c-ond-it-ion-er,noun,
condominium,Joint sovereignty over a territory by two or more countries.,/kɒn.dəˈmɪn.ɪ.əm/,c-ond-om-in-ium,noun,
conductor,One who conducts or leads; a guide; a director.,/kənˈdʌktɚ/,c-ond-uct-or,noun,train conductor; tram conductor
conference,The act of consulting together formally; serious conversation or discussion; interchange of views.,/ˈkɒn.fə.ɹəns/,c-onf-er-enc-e,noun,
confidential,"Kept, or meant to be kept, secret within a certain circle of persons; not intended to be known publicly",/ˌkɑːnfɪˈdɛnʃl/,c-onf-id-ent-ial,adjective,The newspaper claims a leaked confidential report by the government admits to problems with corrupt MPs.
confirmation,An official indicator that things will happen as planned.,/ˌkɒn.fəˈmeɪ.ʃən/,c-onf-irm-at-ion,noun,We will send you a written confirmation of your hotel booking.
conform,"(of persons, often followed by to) To act in accordance with expectations; to behave in the manner of others, especially as a result of social pressure.",/kənˈfɔːm/,c-onf-orm,verb,
congestion,"The hindrance or blockage of the passage of something, for example a fluid, mixture, traffic, people, etc. (due to an excess of this or due to a partial or complete obstruction), resulting in overfilling or overcrowding.",/kʊnˈd͡ʒɛʃ.d͡ʒən/,c-ong-est-ion,noun,
congratulate,To express one’s sympathetic pleasure or joy to the person(s) it is felt for.,/-t͡ʃə-/,c-ongr-at-ul-at-e,verb,Remind me to congratulate Dave and Lisa on their wedding.
congratulation,The act of congratulating.,/kənˌɡɹætjʊˈleɪʃ(ə)n/,c-ongr-at-ul-at-ion,noun,
consecutive,A sequence of notes or chords that results from repeated shifts in pitch of the same interval.,/kɒnsɛkjʊtɪv/,c-ons-ec-ut-iv-e,noun,
